brand,model,materiale,calibro,rigidita,colore,prezzo,image_url,note
Tecnifibre,Black Code 16,monofilamento,,,,,,
Tecnifibre,Black Code 17,monofilamento,,,,,,
Tecnifibre,Black Code 18,monofilamento,,,,,,
Tecnifibre,Black Code 4S 16 (1.30),monofilamento,,,,,,
Tecnifibre,Black Code 4S 17 (1.25),monofilamento,,,,,,
Tecnifibre,Black Code 4S 18 (1.20),monofilamento,,,,,,
Tecnifibre,Duramix HD 16,multifilamento avanzato,,,,,,
Tecnifibre,Duramix HD 17,multifilamento avanzato,,,,,,
Tecnifibre,E-Matrix 16,multifilamento avanzato,,,,,,
Tecnifibre,E-Matrix 17,multifilamento,,,,,,
Tecnifibre,HDX Tour 16 (1.30),multifilamento avanzato,,,,,,
Tecnifibre,HDX Tour 17 (1.24),multifilamento avanzato,,,,,,
Tecnifibre,Ice Code 16 (1.30),monofilamento,,,,,,
Tecnifibre,Multi-Feel 16,multifilamento avanzato,,,,,,
Tecnifibre,Multifeel 16 Black (1.30),multifilamento avanzato,,,,,,
Tecnifibre,Multi-Feel 17 (1.25),multifilamento avanzato,,,,,,
Tecnifibre,NRG2 16,multifilamento,,,,,,
Tecnifibre,NRG2 17/1.24,multifilamento,,,,,,
Tecnifibre,NRG2 18 (1.18),multifilamento avanzato,,,,,,
Tecnifibre,Polyspin 16L,monofilamento,,,,,,
Tecnifibre,Pro Mix 16,multifilamento avanzato,,,,,,
Tecnifibre,Pro Mix 17,multifilamento avanzato,,,,,,
Tecnifibre,Pro Red Code 16,monofilamento,,,,,,
Tecnifibre,Pro Red Code 17,monofilamento,,,,,,
Tecnifibre,Pro Red Code 18,monofilamento,,,,,,
Tecnifibre,Pro Red Code Wax 17,monofilamento,,,,,,
Tecnifibre,Razor Code 16 (1.30),monofilamento,,,,,,
Tecnifibre,Razor Code 17 (1.25),monofilamento,,,,,,
Tecnifibre,Razor Code 18 (1.20),monofilamento,,,,,,
Tecnifibre,Razor Soft 17 (1.25),monofilamento,,,,,,
Tecnifibre,Ruff Code 16 (1.30),monofilamento,,,,,,
Tecnifibre,Ruff Code 17 (1.25),monofilamento,,,,,,
Tecnifibre,TGV 16,multifilamento avanzato,,,,,,
Tecnifibre,TGV 17/1.25,multifilamento avanzato,,,,,,
Tecnifibre,Triax 16 (1.33),multifilamento avanzato,,,,,,
Tecnifibre,X-Code 16,monofilamento,,,,,,
Tecnifibre,X-One Biphase 16,multifilamento avanzato,,,,,,
Tecnifibre,X-One Biphase 17,multifilamento avanzato,,,,,,
Tecnifibre,X-One Biphase 18,multifilamento,,,,,,
Tecnifibre,XR3 16,multifilamento avanzato,,,,,,
Tecnifibre,XR3 17,multifilamento avanzato,,,,,,
Toalson,Leoina 77 (1.30),multifilamento,,,,,,
Topspin,Cyber Blue 16,monofilamento,,,,,,
Topspin,Cyber Blue 17,monofilamento,,,,,,
Topspin,Cyber Blue 17L (1.20),monofilamento,,,,,,
Topspin,Cyber Delta 17 (1.26),monofilamento,,,,,,
Topspin,Cyber Flash 16,monofilamento,,,,,,
Topspin,Cyber Flash 17,monofilamento,,,,,,
Topspin,Cyber Flash 17L,monofilamento,,,,,,
Topspin,Cyber Whirl 17 (1.24),monofilamento,,,,,,
Tourna,Big Hitter 16,monofilamento,,,,,,
Tourna,Big HItter Black 7 16 (1.25),monofilamento,,,,,,
Tourna,Big Hitter Black 7 17,monofilamento,,,,,,
Tourna,Big Hitter Blue 16,monofilamento,,,,,,
Tourna,Big Hitter Blue 17,monofilamento,,,,,,
Tourna,Big Hitter Blue Rough 16,monofilamento,,,,,,
Tourna,Big Hitter Blue Rough 17,monofilamento,,,,,,
Tourna,Big HItter Silver 16,monofilamento,,,,,,
Tourna,Big Hitter Silver 17,monofilamento,,,,,,
Tourna,Big Hitter Silver 7 Tour 16 (1.30),monofilamento,,,,,,
Tourna,Big Hitter Silver Rough 16,monofilamento,,,,,,
Tourna,Big Hitter Silver Rough 17,monofilamento,,,,,,
Tourna,Black Zone 16,monofilamento,,,,,,
Tourna,Black Zone 17,monofilamento,,,,,,
Tourna,Irradiated 16,multifilamento,,,,,,
Tourna,Irradiated 17,multifilamento,,,,,,
Tourna,Quasi Gut 17,multifilamento,,,,,,
Tourna,Quasi-Gut 16,multifilamento,,,,,,
Tourna,Quasi-Gut Armor 16,multifilamento avanzato,,,,,,
Tourna,Quasi-Gut Armor 17,multifilamento avanzato,,,,,,
Tourna,Synthetic Gut Armor 16,multifilamento avanzato,,,,,,
Tourna,Synthetic Gut Armor 17,multifilamento avanzato,,,,,,
Volkl,Cyclone 16,monofilamento,,,,,,
Volkl,Cyclone 17,monofilamento,,,,,,
Volkl,Cyclone 18,monofilamento,,,,,,
Volkl,Cyclone 18L (1.15),monofilamento,,,,,,
Volkl,Cyclone 19 (1.10),monofilamento,,,,,,
Volkl,Cyclone Tour 16 (1.30),monofilamento,,,,,,
Volkl,Cyclone Tour 17 (1.25),monofilamento,,,,,,
Volkl,Cyclone Tour 18 (1.20),monofilamento,,,,,,
Volkl,Gripper 16,multifilamento,,,,,,
Volkl,Gripper 17,multifilamento,,,,,,
Volkl,Power-Fiber II 16,multifilamento,,,,,,
Volkl,Power-Fiber II 17,multifilamento,,,,,,
Volkl,Power-Fiber II 18,multifilamento,,,,,,
Volkl,Synthetic Gut 16,multifilamento,,,,,,
Volkl,Synthetic Gut 17,multifilamento,,,,,,
Volkl,V-Pro 16,monofilamento,,,,,,
Volkl,V-Pro 17,monofilamento,,,,,,
Volkl,V-Pro 18,monofilamento,,,,,,
Volkl,V-Square 16 (1.30),monofilamento,,,,,,
Volkl,V-Star 16 (1.30),monofilamento,,,,,,
Volkl,V-Star 18 (1.20),monofilamento,,,,,,
Volkl,V-Star 18L (1.15),monofilamento,,,,,,
Volkl,V-Star 19 (1.10),monofilamento,,,,,,
Volkl,V-Torque 16,monofilamento,,,,,,
Volkl,V-Torque 18 (1.18),monofilamento,,,,,,
Volkl,V-Torque Tour 16 (1.30),monofilamento,,,,,,
Weiss Cannon,6 Star 16 (1.30),multifilamento,,,,,,
Weiss Cannon,Black 5 Edge 17 (1.24),monofilamento,,,,,,
Weiss Cannon,Blue Rock N Power,monofilamento,,,,,,
Weiss Cannon,Explosiv 1.30,multifilamento,,,,,,
Weiss Cannon,MatchPower 1.25,monofilamento,,,,,,
Weiss Cannon,Mosquito Bite 18 (1.16),monofilamento,,,,,,
Weiss Cannon,Red Ghost  17L (1.18),monofilamento,,,,,,
Weiss Cannon,Scorpion 1.22,monofilamento,,,,,,
Weiss Cannon,Scorpion 1.33,monofilamento,,,,,,
Weiss Cannon,Scorpion 16L (1.28),monofilamento,,,,,,
Weiss Cannon,Silverstring 1.25,monofilamento,,,,,,
Weiss Cannon,Silverstring 120,monofilamento,,,,,,
Weiss Cannon,Turbotwist 17 (1.24),monofilamento,,,,,,
Weiss Cannon,Turbotwist 17L (1.18),monofilamento,,,,,,
Weiss Cannon,Ultra Cable 17 (1.23),monofilamento,,,,,,
Wilson,Enduro Gold 16,monofilamento,,,,,,
Wilson,Enduro Mono 16L,monofilamento,,,,,,
Wilson,Enduro Pro 16,monofilamento,,,,,,
Wilson,Enduro Pro 17 (1.25),multifilamento avanzato,,,,,,
Wilson,Enduro Tour 16,monofilamento,,,,,,
Wilson,Enduro Tour 17,monofilamento,,,,,,
Wilson,Enduro Tour 18,monofilamento,,,,,,
Wilson,Extreme 16 Synthetic Gut,multifilamento,,,,,,
Wilson,Hollow Core 16,multifilamento,,,,,,
Wilson,Hollow Core Pro 16,multifilamento,,,,,,
Wilson,Hollow Core Pro 17,multifilamento,,,,,,
Wilson,K-Gut 16,multifilamento,,,,,,
Wilson,K-Gut Pro 16,multifilamento,,,,,,
Wilson,Natural Gut 16,budello naturale,,,,,,
Wilson,Natural Gut 16 (1.30),budello naturale,,,,,,
Wilson,Natural Gut 17,budello naturale,,,,,,
Wilson,NXT 15L (1.35),multifilamento,,,,,,
Wilson,NXT 16,multifilamento,,,,,,
Wilson,NXT 17,multifilamento,,,,,,
Wilson,NXT Control 16 (1.32),multifilamento avanzato,,,,,,
Wilson,NXT Duramax 15 (1.40),multifilamento,,,,,,
Wilson,NXT Duramax 16 (1.32),multifilamento,,,,,,
Wilson,NXT Max 15L (1.35),multifilamento,,,,,,
Wilson,NXT Max 16,multifilamento,,,,,,
Wilson,NXT OS,multifilamento,,,,,,
Wilson,NXT Power 17 (1.26),multifilamento,,,,,,
Wilson,NXT Tour 16,multifilamento,,,,,,
Wilson,NXT Tour 17,multifilamento,,,,,,
Wilson,Optimus 16 (1.30),multifilamento,,,,,,
Wilson,Reaction 16,multifilamento,,,,,,
Wilson,Red Alert 16,multifilamento,,,,,,
Wilson,Revolve 15 (1.35),monofilamento,,,,,,
Wilson,Revolve 16 (1.30),monofilamento,,,,,,
Wilson,Revolve 17 (1.25),monofilamento,,,,,,
Wilson,Revolve Spin 16,monofilamento,,,,,,
Wilson,Ripspin 15,monofilamento,,,,,,
Wilson,Ripspin 16,monofilamento,,,,,,
Wilson,Ripspin 17,monofilamento,,,,,,
Wilson,Sensation 15 (1.35),multifilamento,,,,,,
Wilson,Sensation 16,multifilamento,,,,,,
Wilson,Sensation 17,multifilamento,,,,,,
Wilson,Sensation Control 16 (1.30),multifilamento,,,,,,
Wilson,Sensation Supreme 16,multifilamento,,,,,,
Wilson,SGX 16,multifilamento,,,,,,
Wilson,Shock Shield 16,multifilamento,,,,,,
Wilson,Spin Cycle 16L,monofilamento,,,,,,
Wilson,Stamina 16,multifilamento,,,,,,
Wilson,Synthetic Gut Control 17 (1.25),multifilamento,,,,,,
Wilson,Synthetic Gut Extreme 17,multifilamento,,,,,,
Wilson,Synthetic Gut Power 16 (1.30),multifilamento,,,,,,
Wilson,Synthetic Gut Power 17 (1.25),multifilamento,,,,,,
Yonex,Mono Preme 16 (1.30),multifilamento,,,,,,
Yonex,Poly Tour 130/16,monofilamento,,,,,,
Yonex,Poly Tour Air 16L,monofilamento,,,,,,
Yonex,Poly Tour Drive 16L (1.25),monofilamento,,,,,,
Yonex,Poly Tour Fire 16L (1.25),monofilamento,,,,,,
Yonex,Poly Tour HS 16 (1.30),monofilamento,,,,,,
Yonex,Poly Tour HS 16L (1.25),monofilamento,,,,,,
Yonex,Poly Tour Pro 17 (1.20),monofilamento,,,,,,
Yonex,Poly Tour Pro Yellow 16 (1.30),monofilamento,,,,,,
Yonex,Poly Tour Pro Yellow 16L (1.25),monofilamento,,,,,,
Yonex,Poly Tour Spin 16L (1.25),monofilamento,,,,,,
Yonex,Poly Tour Spin G 1.25,monofilamento,,,,,,
Yonex,Poly Tour Strike 16L (1.25),monofilamento,,,,,,
Yonex,Poly Tour Tough 16L,monofilamento,,,,,,
Yonex,PolyTour REV 16 (1.30),monofilamento,,,,,,
Yonex,Polytour Rev 16L (1.25),monofilamento,,,,,,
Yonex,Rexis 16 (1.30),multifilamento,,,,,,
Yonex,Rexis Comfort 16L (1.25),multifilamento,,,,,,
Yonex,Rexis Speed 16L (1.25),multifilamento,,,,,,
Yonex,Tour Super 850 16 (1.30),multifilamento,,,,,,
Yonex,Tour Super Pro 850 16 (1.32),multifilamento,,,,,,
Yonex,Tournament 50 16L,multifilamento,,,,,,
Yonex,Tournament 80 Spin 15L-16,altro,,,,,,
Y-Tex,Quadro Twist 16L,monofilamento,,,,,,
None,None,monofilamento,,,,,,
Tecnifibre,Synthetic Gut 17ga,altro,,,,,,
Solinco,Hyper-G Soft 18ga,monofilamento,,,,,,
Solinco,Confidential 17ga,monofilamento,,,,,,
Diadem,Solstice Power 18ga,altro,,,,,,
Luxilon,Alu power 17ga,monofilamento,,,,,,
Yonex,Poly Tour Rev 17ga,monofilamento,,,,,,
Head,Hawk Touch 17ga,monofilamento,,,,,,
Ashaway,Crossfire 18,altro,,,,,,
Ashaway,Crossfire Plus,altro,,,,,,
Genesis,Trionic 18ga,monofilamento,,,,,,

